t(s),RU(S1),N2(S1),N(S1),H(S1),NH3(S1),NH2(S1),NH(S1),N2(S2),N(S2),H(S2),NH3(S2),NH2(S2),NH(S2),RU(S2)
1.000000e-15,9.999999e-01,7.709169e-84,2.938970e-32,3.491730e-17,6.855991e-08,3.491730e-17,2.615400e-24,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-15,9.999999e-01,3.858239e-83,2.045479e-31,7.340366e-17,9.940414e-08,7.340364e-17,9.052328e-24,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-15,9.999999e-01,1.026109e-82,6.189981e-31,1.260212e-16,1.302436e-07,1.260212e-16,2.134833e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-15,9.999998e-01,1.893213e-82,1.180854e-30,1.927728e-16,1.610782e-07,1.927727e-16,3.781193e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.800000e-15,9.999998e-01,2.987133e-82,1.890115e-30,2.736583e-16,1.919081e-07,2.736582e-16,5.844313e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.250000e-15,9.999998e-01,6.138809e-82,2.969686e-30,3.686716e-16,2.227331e-07,3.686714e-16,8.668350e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.700000e-15,9.999997e-01,1.174339e-81,4.417207e-30,4.778128e-16,2.535534e-07,4.778125e-16,1.223808e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.150000e-15,9.999997e-01,2.567528e-81,6.477626e-30,6.010769e-16,2.843688e-07,6.010765e-16,1.682379e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.600000e-15,9.999997e-01,5.063905e-81,9.166247e-30,7.384640e-16,3.151795e-07,7.384635e-16,2.241821e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.050000e-15,9.999997e-01,9.805091e-81,1.272240e-29,8.899702e-16,3.459853e-07,8.899696e-16,2.922947e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
